HORA,LUNES,MARTES,JUEVES,MIÉRCOLES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,TERMOFLUIDOS,,,,
8:00,APLICACIONES AL CÁLCULO,TERMOFLUIDOS,,ALGORITMIA COMPUTACIONAL,,
9:00,APLICACIONES AL CÁLCULO,TERMOFLUIDOS,,ALGORITMIA COMPUTACIONAL,,
10:00,APLICACIONES AL CÁLCULO,,PROBABILIDAD Y ESTADÍSTICA,ALGORITMIA COMPUTACIONAL,,
11:00,,,PROBABILIDAD Y ESTADÍSTICA,,,
12:00,,,PROBABILIDAD Y ESTADÍSTICA,TALLER DE EXPRESIÓN ORAL,,
13:00,,,,TALLER DE EXPRESIÓN ORAL,,
14:00,,,,,,
15:00,,,DIBUJO MECÁNICO,,,
16:00,HILANDO MEMORIA (MEET),,DIBUJO MECÁNICO,,,
17:00,HILANDO MEMORIA (MEET),,,,,
18:00,,DIBUJO MECÁNICO,,,,
19:00,,DIBUJO MECÁNICO,,,,
20:00,,,,,,
21:00,,,,,,
