HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,
8:00,,,ALGORITMIA COMPUTACIONAL,,,
9:00,,,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
10:00,,,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
12:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
13:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
14:00,,,TERMOFLUIDOS,,TALLER DE EXPRESIÓN ORAL,
15:00,APLICACIONES AL CÁLCULO,,TERMOFLUIDOS,DIBUJO MECÁNICO,TALLER DE EXPRESIÓN ORAL,
16:00,APLICACIONES AL CÁLCULO,,TERMOFLUIDOS,DIBUJO MECÁNICO,,
17:00,APLICACIONES AL CÁLCULO,,,,,
18:00,,,,,,HILANDO MEMORIA (MEET)
19:00,,,,,,HILANDO MEMORIA (MEET)
20:00,,,,,,
21:00,,,,,,
